_step,bd3_block_len,loss,eval_loss,eval_z_loss,grad_norm,total_loss,z_loss,table_adam_lr,scalar_adam_lr,router_adam_lr,muon_lr,data_time_sec,step_time_sec,supervised_tokens,loss_normalizer,moe_dropped_fraction,moe_router_entropy,moe_expert_fraction_std,moe_load_balance_loss,moe_router_z_loss,moe_aux_loss
5100,4,6.538550853729248,6.482583165168762,9.594475984573364,4.652346611022949,6.551102161407471,9.48815631866455,0,0,0,0,0.009151756064966321,28.29580950597301,157711,183500.796875,0.11062192916870117,1.1648650169372559,0.10503343492746353,1.0724740028381348,0.08780371397733688,0.011602777056396008
5150,4,4.760936260223389,4.634724855422974,10.142372846603394,0.2948043644428253,4.772582054138184,9.91025447845459,0.009999999776482582,0.004999999888241291,0.0010000000474974513,0.03999999910593033,0.0059095550095662475,0.545755865983665,158448,183500.796875,0.020824432373046875,1.1475915908813477,0.05189424753189087,1.0138030052185059,0.051676128059625626,0.010654791258275509
5200,4,3.7961370944976807,3.6445252299308777,26.537673473358154,0.09116677194833755,3.8091695308685303,26.351259231567383,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.006221594987437129,0.5900579360313714,157778,183500.796875,0.0049495697021484375,1.096232533454895,0.03280623257160187,1.0009582042694092,0.03873736411333084,0.010396955534815788
5250,4,3.465846061706543,3.283540666103363,22.80918598175049,0.08278701454401016,3.478318929672241,22.125822067260742,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.005878907977603376,0.5673313339939341,157831,183500.796875,0,1.1056640148162842,0.015405122190713882,0.997789204120636,0.02825481817126274,0.010260439477860928
5300,4,3.3717052936553955,3.197314441204071,21.5945463180542,0.10976963490247726,3.384063959121704,20.990671157836914,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.005737863015383482,0.7291568319778889,157353,183500.796875,9.202957153320312e-05,1.1120970249176025,0.016920309513807297,0.9998656511306763,0.026066679507493973,0.010259322822093964
5350,4,3.296403169631958,3.1374927163124084,20.237361431121826,0.08575629442930222,3.3086178302764893,20.069263458251953,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.005697199027054012,0.8915470520732924,158347,183500.796875,0,1.1259666681289673,0.014958664774894714,0.9998874664306641,0.02088460884988308,0.01020772010087967
5400,4,3.271282196044922,3.077277183532715,20.910053253173828,0.10938627272844315,3.2834088802337646,19.440107345581055,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.005451930919662118,0.6336390870856121,157934,183500.796875,0,1.126265287399292,0.014213064685463905,0.9992052316665649,0.01906035840511322,0.010182655416429043
5450,4,3.2485857009887695,3.045533061027527,20.336695194244385,0.06210293620824814,3.2607011795043945,19.45964813232422,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.00582699803635478,0.78192490094807,157742,183500.796875,0,1.136358380317688,0.00914490781724453,0.999759316444397,0.0172125194221735,0.010169717483222485
5500,4,3.1877875328063965,3.0659672617912292,20.423195362091064,0.07934901118278503,3.199958562850952,20.093690872192383,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.005507702007889748,0.7721863380866125,158101,183500.796875,0,1.14163076877594,0.01345883309841156,0.9992910623550415,0.016833188012242317,0.010161242447793484
5550,4,3.1722235679626465,3.0222416520118713,20.746449947357178,0.061214324086904526,3.1844024658203125,20.24715232849121,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.00504515296779573,0.5861009750515223,157871,183500.796875,0,1.1458053588867188,0.015839122235774994,0.9996484518051147,0.015731826424598694,0.01015380211174488
5600,4,3.1891143321990967,3.004865288734436,21.17982816696167,0.1085803359746933,3.2013001441955566,20.287145614624023,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.005485943052917719,0.6046312360558659,157912,183500.796875,0,1.1484565734863281,0.010408875532448292,1.000106930732727,0.015610631555318832,0.010157176293432713
5650,4,3.1831746101379395,2.9871394634246826,21.6628155708313,0.07265465706586838,3.195436716079712,21.065380096435547,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.005157819017767906,0.6004064970184118,158461,183500.796875,0,1.1495938301086426,0.013722289353609085,1.000690221786499,0.014876837842166424,0.01015567034482956
5700,4,3.110907793045044,2.943009614944458,20.982478141784668,0.12948794662952423,3.123117208480835,20.695463180541992,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.005246950080618262,0.6353770119603723,157957,183500.796875,0,1.1548036336898804,0.011164302006363869,0.999829113483429,0.014168834313750267,0.010139979422092438
5750,4,3.1538429260253906,2.9715471267700195,21.770591259002686,0.06003471091389656,3.166085958480835,21.127012252807617,0.019999999552965164,0.009999999776482582,0.0020000000949949026,0.07999999821186066,0.005399055080488324,0.615083054988645,158035,183500.796875,0,1.1536399126052856,0.009705699980258942,0.999143660068512,0.013891835696995258,0.010130354203283787
