_step,step,loss,eval_loss,step_time_sec,moe_dropped_fraction,moe_router_entropy,moe_expert_fraction_min,moe_expert_fraction_max,grad_norm
0,0,9.52328872680664,9.522256851196289,8.801977508002892,0.1310882568359375,1.2942585945129395,0.14136219024658203,0.43717098236083984,2.1475512981414795
50,50,5.347325325012207,5.329532146453857,0.4311281070113182,0.0026273727416992188,1.2905738353729248,0.2002115249633789,0.29323768615722656,1.6167558431625366
100,100,4.425532341003418,4.440106511116028,0.24256375804543495,0,1.1648736000061035,0.20630741119384766,0.28720951080322266,0.6332083940505981
150,150,3.8406643867492676,3.816907823085785,0.2568953540176153,0,1.019287347793579,0.22973346710205078,0.26982593536376953,0.27525684237480164
200,200,3.5868449211120605,3.613506257534027,0.25102247507311404,0,1.027039885520935,0.22207260131835938,0.28417491912841797,0.18229436874389648
250,250,3.4969635009765625,3.5069929361343384,0.2668318198993802,0,1.0571222305297852,0.2090606689453125,0.2768592834472656,0.10748466104269028
300,300,3.42291259765625,3.418991804122925,0.25626541301608086,0,1.066158413887024,0.21727752685546875,0.2827119827270508,0.088127002120018
350,350,3.366946220397949,3.3663885593414307,0.2606408391147852,0,1.0989035367965698,0.2214040756225586,0.27362632751464844,0.06654858589172363
400,400,3.2939157485961914,3.2772947549819946,0.2645045300014317,0,1.1106934547424316,0.21614360809326172,0.27523040771484375,0.06084296107292175
450,450,3.256044626235962,3.2378970980644226,0.2549436162225902,0,1.1230006217956543,0.21880531311035156,0.2753915786743164,0.07462307065725327
500,500,3.2263216972351074,3.236479938030243,0.2677698468323797,0,1.1340484619140625,0.2190837860107422,0.2705984115600586,0.04893801733851433
550,550,3.198513984680176,3.2122285962104797,0.25638576899655163,0,1.138146162033081,0.21506500244140625,0.2807426452636719,0.05531417205929756
600,600,3.145517587661743,3.1656911373138428,0.2600762639194727,0,1.1400299072265625,0.21181774139404297,0.2813119888305664,0.051396436989307404
